name,pieces
Brick Bank,2380
Volkswagen Beetle,1167
Big Ben,4163
Winter Holiday Train,734
XL Creative Brick Box,1600
Creative Building Set,583
Creative Building Basket,1000
Police Helicopter Chase,63
Iron Man vs. Loki,66
Snake Showdown,92
Ariel's Dolphin Carriage,70
Batman & Superman vs. Lex Luthor,164
Lost Temple,172
Stephanie's Horse Carriage,58
Emma's Ice Cream Truck,136
Mia's Vet Clinic,173
Cinderella's Carriage,116
Baby Animals,13
Savanna,18
Arctic,40
Jungle,86
Around the World,163
Horses,20
Horse Trailer,15
Little Plane,13
